Group,ItemType,ItemNum,Condition,Context,Feature,Time,Prime,Target,LDT,Teil1,Teil2,FullItem
1,filler,F8,filler,other,nonword,1000,rugby,strosh,no,Things weren’t going well for Mary. The fact that her boyfriend had broken up with her the same week she had lost her job really tackled her.,"Sometimes, life can be a game of rugby.","Things weren’t going well for Mary. The fact that her boyfriend had broken up with her the same week she had lost her job really tackled her. Sometimes, life can be a game of rugby."
1,filler,F5,filler,other,nonword,400,dalmatian,coustly,no,"John was making a chocolate milkshake when the lid came off the blender. When his mother saw him, he had already spotted himself with cocoa.",She said John was a Dalmatian.,"John was making a chocolate milkshake when the lid came off the blender. When his mother saw him, he had already spotted himself with cocoa. She said John was a Dalmatian."
1,filler,F6,filler,other,nonword,400,Pacific,bool,no,"John and Mary have a new house with an amazing garden. Actually, one cannot see the end of it from the back door. They need to sail across it to fetch their carrots.",Their garden is the Pacific.,"John and Mary have a new house with an amazing garden. Actually, one cannot see the end of it from the back door. They need to sail across it to fetch their carrots. Their garden is the Pacific."
1,control,I6,f,unmmatching,irrelevant,400,minnow,cat,yes,"When playing basketball in the college team, John could swim under the arms of his teammates.",John was a minnow.,"When playing basketball in the college team, John could swim under the arms of his teammates. John was a minnow."
1,control,I7,g,unmmatching,relevant,1000,encyclopaedia,cold,yes,"Even though she had never been to school, Mary could flip through the pages in her mind.",She was an Encyclopaedia.,"Even though she had never been to school, Mary could flip through the pages in her mind. She was an Encyclopaedia."
1,filler,F4,filler,other,nonword,1000,chair,rall,no,"John knew many people, but there were only a few friends he could lean on. When he was with them, he felt he could lean back and chill.",A good friend is a comfy chair.,"John knew many people, but there were only a few friends he could lean on. When he was with them, he felt he could lean back and chill. A good friend is a comfy chair."
1,critical,I1,a,matching,relevant,400,cactus,spike,yes,John doesn’t like physical contact. Even his girlfriend finds it difficult to come close to him. He stings her every time he sees her.,John is a cactus.,John doesn’t like physical contact. Even his girlfriend finds it difficult to come close to him. He stings her every time he sees her. John is a cactus.
1,critical,I3,c,matching,relevant,1000,skyscrapers,tall,yes,On the dunes someone had planted a few pine trees among the local plants. They towered over everything else. ,The pine trees were skyscrapers.,On the dunes someone had planted a few pine trees among the local plants. They towered over everything else. The pine trees were skyscrapers.
1,filler,F2,filler,other,nonword,400,sapling,mabs,no,"When he was a kid, John wasn’t allowed to do many things on his own. His mother watered him carefully.",She used to tell him that he was only a sapling.,"When he was a kid, John wasn’t allowed to do many things on his own. His mother watered him carefully. She used to tell him that he was only a sapling."
1,filler,F1,filler,other,nonword,400,lullaby,slike,no,Mary loved maths but this year the teacher was very boring. He hummed every formula and theorem.,Every lesson was a lullaby.,Mary loved maths but this year the teacher was very boring. He hummed every formula and theorem. Every lesson was a lullaby.
1,critical,I2,b,matching,irrelevant,400,lion,animal,yes,"After six months without going to the barber, John’s beard had grown to an incredible length. He could even roar mightily.",John was a lion.,"After six months without going to the barber, John’s beard had grown to an incredible length. He could even roar mightily. John was a lion."
1,control,I8,h,unmmatching,irrelevant,1000,Norway,book,yes,"Mary didn’t like spending the nights at her grandmother’s. No matter how many blankets she would put on the bed, she froze in those arctic temperatures.",That attic room was Norway.,"Mary didn’t like spending the nights at her grandmother’s. No matter how many blankets she would put on the bed, she froze in those arctic temperatures. That attic room was Norway."
1,critical,I4,d,matching,irrelevant,1000,steel,metal,yes,John spends four hours a day in the gym. He forges his body intensively.,His muscles are steel.,John spends four hours a day in the gym. He forges his body intensively. His muscles are steel.
1,filler,F7,filler,other,nonword,1000,champagne,fimp,no,John loved paddling his canoe through the steep canyon. He especially enjoyed rolling over in the white water of the rapids. The river poured down cascading in bubbles.,It was champagne.,John loved paddling his canoe through the steep canyon. He especially enjoyed rolling over in the white water of the rapids. The river poured down cascading in bubbles. It was champagne.
1,filler,F3,filler,other,nonword,1000,slippers,alipol,no,"Mary had been sharing a flat with John for a long time. With him she felt at ease even in silence. And they often walk around in topics such as literature and arts, as well.",John was a pair of old slippers.,"Mary had been sharing a flat with John for a long time. With him she felt at ease even in silence. And they often walk around in topics such as literature and arts, as well. John was a pair of old slippers."
1,control,I5,e,unmmatching,relevant,400,cheetah,small,yes,Nobody wanted to run against John at school. He chased and hunted the finish line ferociously.,John was a cheetah.,Nobody wanted to run against John at school. He chased and hunted the finish line ferociously. John was a cheetah.
2,filler,F5,filler,other,nonword,400,dalmatian,coustly,no,"John was making a chocolate milkshake when the lid came off the blender. When his mother saw him, he had already spotted himself with cocoa.",She said John was a Dalmatian.,"John was making a chocolate milkshake when the lid came off the blender. When his mother saw him, he had already spotted himself with cocoa. She said John was a Dalmatian."
2,filler,F2,filler,other,nonword,1000,sapling,mabs,no,"When he was a kid, John wasn’t allowed to do many things on his own. His mother watered him carefully.",She used to tell him that he was only a sapling.,"When he was a kid, John wasn’t allowed to do many things on his own. His mother watered him carefully. She used to tell him that he was only a sapling."
2,filler,F6,filler,other,nonword,1000,Pacific,bool,no,"John and Mary have a new house with an amazing garden. Actually, one cannot see the end of it from the back door. They need to sail across it to fetch their carrots.",Their garden is the Pacific.,"John and Mary have a new house with an amazing garden. Actually, one cannot see the end of it from the back door. They need to sail across it to fetch their carrots. Their garden is the Pacific."
2,critical,I2,c,matching,relevant,1000,lion,mane,yes,"After six months without going to the barber, John’s beard had grown to an incredible length. He could even roar mightily.",John was a lion.,"After six months without going to the barber, John’s beard had grown to an incredible length. He could even roar mightily. John was a lion."
2,control,I4,e,unmmatching,relevant,400,steel,tall,yes,John spends four hours a day in the gym. He forges his body intensively.,His muscles are steel.,John spends four hours a day in the gym. He forges his body intensively. His muscles are steel.
2,critical,I8,a,matching,relevant,400,Norway,cold,yes,"Mary didn’t like spending the nights at her grandmother’s. No matter how many blankets she would put on the bed, she froze in those arctic temperatures.",That attic room was Norway.,"Mary didn’t like spending the nights at her grandmother’s. No matter how many blankets she would put on the bed, she froze in those arctic temperatures. That attic room was Norway."
2,filler,F4,filler,other,nonword,400,chair,rall,no,"John knew many people, but there were only a few friends he could lean on. When he was with them, he felt he could lean back and chill.",A good friend is a comfy chair.,"John knew many people, but there were only a few friends he could lean on. When he was with them, he felt he could lean back and chill. A good friend is a comfy chair."
2,control,I7,h,unmmatching,irrelevant,1000,encyclopaedia,country,yes,"Even though she had never been to school, Mary could flip through the pages in her mind.",She was an Encyclopaedia.,"Even though she had never been to school, Mary could flip through the pages in her mind. She was an Encyclopaedia."
2,control,I6,g,unmmatching,relevant,1000,minnow,fast,yes,"When playing basketball in the college team, John could swim under the arms of his teammates.",John was a minnow.,"When playing basketball in the college team, John could swim under the arms of his teammates. John was a minnow."
2,critical,I3,d,matching,irrelevant,1000,skyscrapers,building,yes,On the dunes someone had planted a few pine trees among the local plants. They towered over everything else. ,The pine trees were skyscrapers.,On the dunes someone had planted a few pine trees among the local plants. They towered over everything else. The pine trees were skyscrapers.
2,filler,F3,filler,other,nonword,1000,slippers,alipol,no,"Mary had been sharing a flat with John for a long time. With him she felt at ease even in silence. And they often walk around in topics such as literature and arts, as well.",John was a pair of old slippers.,"Mary had been sharing a flat with John for a long time. With him she felt at ease even in silence. And they often walk around in topics such as literature and arts, as well. John was a pair of old slippers."
2,critical,I1,b,matching,irrelevant,400,cactus,plant,yes,John doesn’t like physical contact. Even his girlfriend finds it difficult to come close to him. He stings her every time he sees her.,John is a cactus.,John doesn’t like physical contact. Even his girlfriend finds it difficult to come close to him. He stings her every time he sees her. John is a cactus.
2,filler,F8,filler,other,nonword,400,rugby,strosh,no,Things weren’t going well for Mary. The fact that her boyfriend had broken up with her the same week she had lost her job really tackled her.,"Sometimes, life can be a game of rugby.","Things weren’t going well for Mary. The fact that her boyfriend had broken up with her the same week she had lost her job really tackled her. Sometimes, life can be a game of rugby."
2,filler,F1,filler,other,nonword,400,lullaby,slike,no,Mary loved maths but this year the teacher was very boring. He hummed every formula and theorem.,Every lesson was a lullaby.,Mary loved maths but this year the teacher was very boring. He hummed every formula and theorem. Every lesson was a lullaby.
2,filler,F7,filler,other,nonword,1000,champagne,fimp,no,John loved paddling his canoe through the steep canyon. He especially enjoyed rolling over in the white water of the rapids. The river poured down cascading in bubbles.,It was champagne.,John loved paddling his canoe through the steep canyon. He especially enjoyed rolling over in the white water of the rapids. The river poured down cascading in bubbles. It was champagne.
2,control,I5,f,unmmatching,irrelevant,400,cheetah,fish,yes,Nobody wanted to run against John at school. He chased and hunted the finish line ferociously.,John was a cheetah.,Nobody wanted to run against John at school. He chased and hunted the finish line ferociously. John was a cheetah.
3,control,I6,h,unmmatching,irrelevant,1000,minnow,cat,yes,"When playing basketball in the college team, John could swim under the arms of his teammates.",John was a minnow.,"When playing basketball in the college team, John could swim under the arms of his teammates. John was a minnow."
3,control,I5,g,unmmatching,relevant,1000,cheetah,small,yes,Nobody wanted to run against John at school. He chased and hunted the finish line ferociously.,John was a cheetah.,Nobody wanted to run against John at school. He chased and hunted the finish line ferociously. John was a cheetah.
3,filler,F4,filler,other,nonword,400,chair,rall,no,"John knew many people, but there were only a few friends he could lean on. When he was with them, he felt he could lean back and chill.",A good friend is a comfy chair.,"John knew many people, but there were only a few friends he could lean on. When he was with them, he felt he could lean back and chill. A good friend is a comfy chair."
3,critical,I2,d,matching,irrelevant,1000,lion,animal,yes,"After six months without going to the barber, John’s beard had grown to an incredible length. He could even roar mightily.",John was a lion.,"After six months without going to the barber, John’s beard had grown to an incredible length. He could even roar mightily. John was a lion."
3,filler,F3,filler,other,nonword,400,slippers,alipol,no,"Mary had been sharing a flat with John for a long time. With him she felt at ease even in silence. And they often walk around in topics such as literature and arts, as well.",John was a pair of old slippers.,"Mary had been sharing a flat with John for a long time. With him she felt at ease even in silence. And they often walk around in topics such as literature and arts, as well. John was a pair of old slippers."
3,critical,I7,a,matching,relevant,400,encyclopaedia,knowledge,yes,"Even though she had never been to school, Mary could flip through the pages in her mind.",She was an Encyclopaedia.,"Even though she had never been to school, Mary could flip through the pages in her mind. She was an Encyclopaedia."
3,filler,F8,filler,other,nonword,400,rugby,strosh,no,Things weren’t going well for Mary. The fact that her boyfriend had broken up with her the same week she had lost her job really tackled her.,"Sometimes, life can be a game of rugby.","Things weren’t going well for Mary. The fact that her boyfriend had broken up with her the same week she had lost her job really tackled her. Sometimes, life can be a game of rugby."
3,critical,I8,b,matching,irrelevant,400,Norway,country,yes,"Mary didn’t like spending the nights at her grandmother’s. No matter how many blankets she would put on the bed, she froze in those arctic temperatures.",That attic room was Norway.,"Mary didn’t like spending the nights at her grandmother’s. No matter how many blankets she would put on the bed, she froze in those arctic temperatures. That attic room was Norway."
3,filler,F7,filler,other,nonword,400,champagne,fimp,no,John loved paddling his canoe through the steep canyon. He especially enjoyed rolling over in the white water of the rapids. The river poured down cascading in bubbles.,It was champagne.,John loved paddling his canoe through the steep canyon. He especially enjoyed rolling over in the white water of the rapids. The river poured down cascading in bubbles. It was champagne.
3,control,I3,e,unmmatching,relevant,400,skyscrapers,strong,yes,On the dunes someone had planted a few pine trees among the local plants. They towered over everything else. ,The pine trees were skyscrapers.,On the dunes someone had planted a few pine trees among the local plants. They towered over everything else. The pine trees were skyscrapers.
3,filler,F5,filler,other,nonword,1000,dalmatian,coustly,no,"John was making a chocolate milkshake when the lid came off the blender. When his mother saw him, he had already spotted himself with cocoa.",She said John was a Dalmatian.,"John was making a chocolate milkshake when the lid came off the blender. When his mother saw him, he had already spotted himself with cocoa. She said John was a Dalmatian."
3,control,I4,f,unmmatching,irrelevant,400,steel,building,yes,John spends four hours a day in the gym. He forges his body intensively.,His muscles are steel.,John spends four hours a day in the gym. He forges his body intensively. His muscles are steel.
3,filler,F6,filler,other,nonword,1000,Pacific,bool,no,"John and Mary have a new house with an amazing garden. Actually, one cannot see the end of it from the back door. They need to sail across it to fetch their carrots.",Their garden is the Pacific.,"John and Mary have a new house with an amazing garden. Actually, one cannot see the end of it from the back door. They need to sail across it to fetch their carrots. Their garden is the Pacific."
3,filler,F2,filler,other,nonword,1000,sapling,mabs,no,"When he was a kid, John wasn’t allowed to do many things on his own. His mother watered him carefully.",She used to tell him that he was only a sapling.,"When he was a kid, John wasn’t allowed to do many things on his own. His mother watered him carefully. She used to tell him that he was only a sapling."
3,filler,F1,filler,other,nonword,1000,lullaby,slike,no,Mary loved maths but this year the teacher was very boring. He hummed every formula and theorem.,Every lesson was a lullaby.,Mary loved maths but this year the teacher was very boring. He hummed every formula and theorem. Every lesson was a lullaby.
3,critical,I1,c,matching,relevant,1000,cactus,spike,yes,John doesn’t like physical contact. Even his girlfriend finds it difficult to come close to him. He stings her every time he sees her.,John is a cactus.,John doesn’t like physical contact. Even his girlfriend finds it difficult to come close to him. He stings her every time he sees her. John is a cactus.
4,filler,F5,filler,other,nonword,1000,dalmatian,coustly,no,"John was making a chocolate milkshake when the lid came off the blender. When his mother saw him, he had already spotted himself with cocoa.",She said John was a Dalmatian.,"John was making a chocolate milkshake when the lid came off the blender. When his mother saw him, he had already spotted himself with cocoa. She said John was a Dalmatian."
4,control,I2,e,unmmatching,relevant,400,lion,spike,yes,"After six months without going to the barber, John’s beard had grown to an incredible length. He could even roar mightily.",John was a lion.,"After six months without going to the barber, John’s beard had grown to an incredible length. He could even roar mightily. John was a lion."
4,filler,F4,filler,other,nonword,1000,chair,rall,no,"John knew many people, but there were only a few friends he could lean on. When he was with them, he felt he could lean back and chill.",A good friend is a comfy chair.,"John knew many people, but there were only a few friends he could lean on. When he was with them, he felt he could lean back and chill. A good friend is a comfy chair."
4,filler,F8,filler,other,nonword,1000,rugby,strosh,no,Things weren’t going well for Mary. The fact that her boyfriend had broken up with her the same week she had lost her job really tackled her.,"Sometimes, life can be a game of rugby.","Things weren’t going well for Mary. The fact that her boyfriend had broken up with her the same week she had lost her job really tackled her. Sometimes, life can be a game of rugby."
4,filler,F1,filler,other,nonword,1000,lullaby,slike,no,Mary loved maths but this year the teacher was very boring. He hummed every formula and theorem.,Every lesson was a lullaby.,Mary loved maths but this year the teacher was very boring. He hummed every formula and theorem. Every lesson was a lullaby.
4,control,I5,h,unmmatching,irrelevant,1000,cheetah,fish,yes,Nobody wanted to run against John at school. He chased and hunted the finish line ferociously.,John was a cheetah.,Nobody wanted to run against John at school. He chased and hunted the finish line ferociously. John was a cheetah.
4,filler,F6,filler,other,nonword,400,Pacific,bool,no,"John and Mary have a new house with an amazing garden. Actually, one cannot see the end of it from the back door. They need to sail across it to fetch their carrots.",Their garden is the Pacific.,"John and Mary have a new house with an amazing garden. Actually, one cannot see the end of it from the back door. They need to sail across it to fetch their carrots. Their garden is the Pacific."
4,critical,I6,a,matching,relevant,400,minnow,small,yes,"When playing basketball in the college team, John could swim under the arms of his teammates.",John was a minnow.,"When playing basketball in the college team, John could swim under the arms of his teammates. John was a minnow."
4,filler,F7,filler,other,nonword,400,champagne,fimp,no,John loved paddling his canoe through the steep canyon. He especially enjoyed rolling over in the white water of the rapids. The river poured down cascading in bubbles.,It was champagne.,John loved paddling his canoe through the steep canyon. He especially enjoyed rolling over in the white water of the rapids. The river poured down cascading in bubbles. It was champagne.
4,critical,I8,c,matching,relevant,1000,Norway,cold,yes,"Mary didn’t like spending the nights at her grandmother’s. No matter how many blankets she would put on the bed, she froze in those arctic temperatures.",That attic room was Norway.,"Mary didn’t like spending the nights at her grandmother’s. No matter how many blankets she would put on the bed, she froze in those arctic temperatures. That attic room was Norway."
4,control,I4,g,unmmatching,relevant,1000,steel,tall,yes,John spends four hours a day in the gym. He forges his body intensively.,His muscles are steel.,John spends four hours a day in the gym. He forges his body intensively. His muscles are steel.
4,critical,I7,b,matching,irrelevant,400,encyclopaedia,book,yes,"Even though she had never been to school, Mary could flip through the pages in her mind.",She was an Encyclopaedia.,"Even though she had never been to school, Mary could flip through the pages in her mind. She was an Encyclopaedia."
4,filler,F3,filler,other,nonword,400,slippers,alipol,no,"Mary had been sharing a flat with John for a long time. With him she felt at ease even in silence. And they often walk around in topics such as literature and arts, as well.",John was a pair of old slippers.,"Mary had been sharing a flat with John for a long time. With him she felt at ease even in silence. And they often walk around in topics such as literature and arts, as well. John was a pair of old slippers."
4,critical,I1,d,matching,irrelevant,1000,cactus,plant,yes,John doesn’t like physical contact. Even his girlfriend finds it difficult to come close to him. He stings her every time he sees her.,John is a cactus.,John doesn’t like physical contact. Even his girlfriend finds it difficult to come close to him. He stings her every time he sees her. John is a cactus.
4,filler,F2,filler,other,nonword,400,sapling,mabs,no,"When he was a kid, John wasn’t allowed to do many things on his own. His mother watered him carefully.",She used to tell him that he was only a sapling.,"When he was a kid, John wasn’t allowed to do many things on his own. His mother watered him carefully. She used to tell him that he was only a sapling."
